요양기관명,요양종별,시도명,도로명주소,표시과목명,개설일자,전화번호,lat,lng
그네약국,약국,서울,"서울특별시 중랑구 중랑역로 120, 1층 (중화동)",,2026-06-09,02-493-9316,37.6040702753309,127.07748346429
테라센트럴약국,약국,서울,"서울특별시 구로구 구로중앙로 134, 로비층 (구로동, 신구로자이나인스에비뉴)",,2026-06-25,010-8913-1207,37.4999880723052,126.884098218095
케이뷰티케어약국,약국,서울,"서울특별시 중구 마장로 30, Team204 4층 (신당동)",,2026-06-29,010-7279-4247,37.5677127859728,127.013196592402
에스루아비뇨의학과의원,의원,서울,"서울특별시 마포구 동교로 111, peak 111(피크 일일일) 2층, 3층, 4층 (서교동)",비뇨의학과,2026-06-02,02-325-0615,37.5549072326764,126.914484232433
셀리움의원,의원,서울,"서울특별시 서초구 강남대로 531, 3층 (반포동)",일반의,2026-06-22,010-8794-5222,37.5093207857364,127.021605856873
클리어톤의원,의원,서울,"서울특별시 강남구 테헤란로87길 21, 동성빌딩 10층 2호 (삼성동)",일반의,2026-06-12,02-508-0622,37.5090527842434,127.058249994864
찾아가는경희한의원,한의원,서울,"서울특별시 송파구 올림픽로4길 48, 우성아파트 상가 3층 (잠실동)",,2026-06-18,010-5279-3650,37.5065618089885,127.074256049362
바하한의원,한의원,서울,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 2층 222호 (대치동)",,2026-06-26,02-6215-1075,37.4936757916501,127.060358414855
이종우비뇨의학과의원,의원,서울,"서울특별시 서초구 신반포로 205, 반포쇼핑타운 2층 7~9, 28~32호 (잠원동)",비뇨의학과,2026-06-23,02-532-6781,37.5070244820045,127.006460397501
바로나재활의학과의원,의원,서울,"서울특별시 구로구 개봉로 71, 강서프라자 5층 (개봉동)",재활의학과,2026-06-17,02-6401-1275,37.4920938346959,126.855574487587
경희봄한의원,한의원,서울,서울특별시 강동구 양재대로,,2026-06-08,02-474-5875,37.5459585234695,127.143045400564
하루학문외과의원,의원,서울,서울특별시 종로구 평창문화로,외과,2026-06-17,02-391-7001,37.6088949585475,126.97326779629
다나약국,약국,서울,"서울특별시 광진구 아차산로 456, 1층 101호 일부호 (구의동)",,2026-06-09,02-455-0793,37.539111884155,127.093063747906
에비앙스의원,의원,서울,"서울특별시 강남구 강남대로 626, 엠아이타워빌딩 6층 (신사동)",일반의,2026-06-17,02-2135-8583,37.5177039135144,127.01950046392
2층봄약국,약국,서울,"서울특별시 송파구 올림픽로35길 45, 잠실래미안아이파크 상가동 2층 207호 (신천동)",,2026-06-25,02-2202-2069,37.5191418524332,127.109423017985
홍대끗한의원,한의원,서울,"서울특별시 마포구 양화로 162, 4층 401호 (동교동)",,2026-06-15,02-324-8880,37.5564135550031,126.923881224788
을지로일등정형외과의원,의원,서울,"서울특별시 중구 남대문로10길 28, 유주빌딩 5,6층 (수하동)",정형외과,2026-06-17,-,37.567440820942,126.984236725099
테이트성형외과의원,의원,서울,"서울특별시 강남구 도산대로 134, 14층 (논현동)",성형외과,2026-06-25,02-6215-0619,37.5173531693456,127.023380583993
3층맑은약국,약국,서울,"서울특별시 중랑구 망우로 322, 319호 (상봉동, 상봉역 유보라 퍼스트리브&포스퀘어)",,2026-06-12,02-432-1365,37.5966482515306,127.088173823504
알뜰온누리약국,약국,서울,"서울특별시 영등포구 선유로49길 23, 선유도역2차 아이에스비즈타워 102호, 103호 (양평동4가)",,2026-06-10,02-6012-9988,37.5361864712485,126.895059294005
이레세포의원,의원,서울,"서울특별시 용산구 독서당로 124, 엘 플레이스 한남 2층 (한남동)",일반의,2026-06-08,02-749-2080,37.5370129432736,127.012777067964
메디원약국,약국,서울,"서울특별시 중구 남대문시장8길 7, 지하1층 78,79,81,82호 (남창동)",,2026-06-04,010-3685-6400,37.5604352919962,126.978956614349
서울턱앤이구강내과치과의원,치과의원,서울,"서울특별시 동작구 사당로 301-1, 6층 (사당동)",,2026-06-23,02-592-7555,37.4853430998167,126.980952305672
벨로이스의원,의원,서울,"서울특별시 강남구 논현로 820, 제이씨빌딩 6층 (신사동)",일반의,2026-06-10,02-547-2026,37.5215917102743,127.028520369312
서울아산빛정신건강의학과의원,의원,서울,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 A306호 (이문동)",정신건강의학과,2026-06-02,02-968-7775,37.5984702182265,127.062682937358
브레인앤슬립의원,의원,서울,"서울특별시 강남구 논현로 503, 송촌빌딩 3층 (역삼동)",일반의,2026-06-08,02-554-7555,37.5012739795743,127.036366846779
여의도 제너리스의원,의원,서울,"서울특별시 영등포구 국제금융로6길 33, 407호 (여의도동)",일반의,2026-06-22,010-9168-8295,37.5207908297398,126.926911965929
명일솔약국,약국,서울,"서울특별시 강동구 양재대로 1638, 1층 105호 (명일동)",,2026-06-29,02-426-7261,37.5517309629424,127.144364763347
